sim,year,species,comp_type,ess
255,2016,1,total,585.1433852519095
256,2016,1,total,1419.537258221687
257,2016,1,total,698.111977921
258,2016,1,total,1147.6232015646374
259,2016,1,total,460.9335367452274
260,2016,1,total,1506.737771877122
261,2016,1,total,797.3216014162495
262,2016,1,total,764.5607739064637
263,2016,1,total,1149.3723440798003
264,2016,1,total,2184.8882710792536
265,2016,1,total,2339.789574488392
266,2016,1,total,470.17315999341287
267,2016,1,total,799.2813716159477
268,2016,1,total,1151.3454314192827
269,2016,1,total,1315.471549447246
270,2016,1,total,804.6539367511957
271,2016,1,total,720.051621449657
272,2016,1,total,1420.1479681959202
273,2016,1,total,3404.810258482908
274,2016,1,total,1256.531186403048
275,2016,1,total,453.8561888411728
276,2016,1,total,583.2519051777842
277,2016,1,total,1232.3088261681817
278,2016,1,total,1249.318615695537
279,2016,1,total,818.4303175642445
280,2016,1,total,1269.7016546401208
281,2016,1,total,2462.0444759119664
282,2016,1,total,802.7968075665597
283,2016,1,total,514.7398154405367
284,2016,1,total,919.5688063990754
285,2016,1,total,1650.8367778352758
286,2016,1,total,1073.2923453456983
287,2016,1,total,1362.736579934393
288,2016,1,total,729.6808989490602
289,2016,1,total,2378.5915988584666
290,2016,1,total,1366.0648934649876
291,2016,1,total,875.0992184368087
292,2016,1,total,925.956255001214
293,2016,1,total,2840.3394073818204
294,2016,1,total,1002.9223651741767
295,2016,1,total,815.1697234552529
296,2016,1,total,4071.020305968606
297,2016,1,total,1274.1819924473805
298,2016,1,total,1591.6641070827802
299,2016,1,total,938.2096520522812
300,2016,1,total,1461.323494346864
301,2016,1,total,408.2845283233051
302,2016,1,total,249.90127878702756
303,2016,1,total,2242.9531128033686
304,2016,1,total,696.404932382691
305,2016,1,total,669.8557042217657
306,2016,1,total,291.2016610320087
307,2016,1,total,347.09330975295694
308,2016,1,total,830.2222226102698
309,2016,1,total,1056.9147647450613
310,2016,1,total,1126.1355898670606
311,2016,1,total,1547.6019360818584
312,2016,1,total,1947.061613413898
313,2016,1,total,367.0498213980536
314,2016,1,total,4084.6726007127686
315,2016,1,total,1339.6419683371857
316,2016,1,total,1078.3860903087705
317,2016,1,total,899.3782437892684
318,2016,1,total,1556.1766871817492
319,2016,1,total,872.149746234577
320,2016,1,total,490.26744565649386
321,2016,1,total,612.7641865901649
322,2016,1,total,2681.433154661584
323,2016,1,total,1324.8183093715418
324,2016,1,total,327.88440986503156
325,2016,1,total,506.3949255686977
326,2016,1,total,580.2064691123279
327,2016,1,total,1748.8320613293836
328,2016,1,total,860.3063750213599
329,2016,1,total,926.2016211577669
330,2016,1,total,925.8310997786256
331,2016,1,total,867.4047321654778
332,2016,1,total,1279.440712064178
333,2016,1,total,893.0403714078607
334,2016,1,total,1108.4053201365452
335,2016,1,total,566.2056958821343
336,2016,1,total,436.97602715984675
337,2016,1,total,750.6019396052714
338,2016,1,total,1700.6489963013469
339,2016,1,total,817.0424867948772
340,2016,1,total,979.7148315553627
341,2016,1,total,692.875540575348
342,2016,1,total,854.1303528923764
343,2016,1,total,2112.6231107983635
344,2016,1,total,1391.2346490645518
345,2016,1,total,989.8010323511663
346,2016,1,total,764.2156411208438
347,2016,1,total,867.5261199350183
348,2016,1,total,623.0593280782153
349,2016,1,total,1212.0641184738947
350,2016,1,total,583.846441152799
351,2016,1,total,721.5114244025439
352,2016,1,total,923.6634441807857
353,2016,1,total,429.3015087502334
354,2016,1,total,827.0039540836699
355,2016,1,total,515.0968163256382
356,2016,1,total,1545.785190927425
357,2016,1,total,1161.0091202783944
358,2016,1,total,1400.6232396789733
359,2016,1,total,1518.9342309685724
360,2016,1,total,1016.019906079029
361,2016,1,total,856.877845083046
362,2016,1,total,1916.8963550726219
363,2016,1,total,827.5263463155476
364,2016,1,total,1558.4455864239494
365,2016,1,total,641.506023842173
366,2016,1,total,478.59179035944703
367,2016,1,total,848.319017017919
368,2016,1,total,846.0071080768431
369,2016,1,total,340.7239262011046
370,2016,1,total,1502.3933340425165
371,2016,1,total,265.5797743885049
372,2016,1,total,375.92638928532676
373,2016,1,total,579.6875577639465
374,2016,1,total,1368.0124932687638
375,2016,1,total,1135.5793662011115
376,2016,1,total,640.6489925393097
377,2016,1,total,411.0833705114965
378,2016,1,total,1422.0323538282594
379,2016,1,total,2462.851873917278
380,2016,1,total,1578.5032424282795
381,2016,1,total,398.4321489583029
382,2016,1,total,2146.0180381044793
383,2016,1,total,2117.4669180052833
384,2016,1,total,2514.809185098343
385,2016,1,total,701.2651005343216
386,2016,1,total,1783.3770919831225
387,2016,1,total,1117.4979232652765
388,2016,1,total,1189.1849722565803
389,2016,1,total,1450.2167466238309
390,2016,1,total,471.2726736691797
391,2016,1,total,700.4004509502896
392,2016,1,total,550.6204697997343
393,2016,1,total,1346.274954066409
394,2016,1,total,494.9857307518761
395,2016,1,total,388.50068328643886
396,2016,1,total,384.8589110819476
397,2016,1,total,859.9633854485767
398,2016,1,total,366.746956306568
399,2016,1,total,2348.9837339663354
400,2016,1,total,1087.191118370684
401,2016,1,total,897.7686834084109
402,2016,1,total,858.5147258142688
403,2016,1,total,1382.0127925571724
404,2016,1,total,1069.053636505129
405,2016,1,total,509.8218322419165
406,2016,1,total,839.5031696795404
407,2016,1,total,924.9057386619161
408,2016,1,total,1324.8178746496465
409,2016,1,total,501.18560032525573
410,2016,1,total,706.416635918101
411,2016,1,total,592.4072276336199
412,2016,1,total,604.0141951357712
413,2016,1,total,1509.847343054775
414,2016,1,total,2195.732841102664
415,2016,1,total,560.6731306105187
416,2016,1,total,2415.0336787308584
417,2016,1,total,1074.9803718788937
418,2016,1,total,5627.627724042067
419,2016,1,total,864.8221094748699
420,2016,1,total,506.92544325252095
421,2016,1,total,1192.6001450362214
422,2016,1,total,930.1996105302833
423,2016,1,total,522.0295846112211
424,2016,1,total,414.625025671365
425,2016,1,total,286.0274521308739
426,2016,1,total,1377.2769377915301
427,2016,1,total,1957.9827331614733
428,2016,1,total,967.8608986061757
429,2016,1,total,947.5178373512828
430,2016,1,total,799.9375542262943
431,2016,1,total,887.8039681611004
432,2016,1,total,1073.5672982183535
433,2016,1,total,1458.9170817193838
434,2016,1,total,700.408567648288
435,2016,1,total,2601.3053524038924
436,2016,1,total,1216.3391359876723
437,2016,1,total,398.70603049212247
438,2016,1,total,2711.804710546181
439,2016,1,total,470.83757673370224
440,2016,1,total,605.6147308125875
441,2016,1,total,1604.6912287790035
442,2016,1,total,752.7155692781824
443,2016,1,total,1526.6325274231226
444,2016,1,total,1539.8059094312741
445,2016,1,total,1607.7434926322665
446,2016,1,total,1072.3058234828964
447,2016,1,total,2180.5537505060993
448,2016,1,total,507.33743460925155
449,2016,1,total,613.8163307830248
450,2016,1,total,646.2355361168791
451,2016,1,total,473.12723218815194
452,2016,1,total,1313.7006423438172
453,2016,1,total,1907.1318084628851
454,2016,1,total,853.31930160664
455,2016,1,total,733.236841067985
456,2016,1,total,1111.3940826152702
457,2016,1,total,729.7439393674451
458,2016,1,total,1495.815239291673
459,2016,1,total,1212.4190553693572
460,2016,1,total,2236.2120949567516
461,2016,1,total,259.04041661107885
462,2016,1,total,384.73617995665177
463,2016,1,total,635.7437461244667
464,2016,1,total,1092.7440735273094
465,2016,1,total,1675.2041515686738
466,2016,1,total,611.0574275817734
467,2016,1,total,1428.6862878087165
468,2016,1,total,1970.7304347299303
469,2016,1,total,422.7943041441652
470,2016,1,total,868.0063997282949
471,2016,1,total,708.4154556840822
472,2016,1,total,970.0088857732125
473,2016,1,total,753.029104287066
474,2016,1,total,722.3674231375697
475,2016,1,total,1250.512476156458
476,2016,1,total,451.31357054687913
477,2016,1,total,1418.2548151268888
478,2016,1,total,2409.392573765582
479,2016,1,total,527.4517002847776
480,2016,1,total,642.4559461970122
481,2016,1,total,580.8064941419424
482,2016,1,total,1744.5989053655396
483,2016,1,total,474.3783713051552
484,2016,1,total,983.9674715880486
485,2016,1,total,701.8374295139614
486,2016,1,total,669.1177380738117
487,2016,1,total,897.5825206770768
488,2016,1,total,2096.1174894334
489,2016,1,total,1255.0861437983347
490,2016,1,total,690.5785103977692
491,2016,1,total,1292.1214732048581
492,2016,1,total,675.0869241281116
493,2016,1,total,2172.111537850408
494,2016,1,total,748.3150939252654
495,2016,1,total,933.0882239764402
496,2016,1,total,682.031245303483
497,2016,1,total,404.1174471404463
498,2016,1,total,3138.6496717457235
499,2016,1,total,2162.725310950707
500,2016,1,total,623.912078199084
