sim,year,species,comp_type,ess
282,2016,1,total,826.6108313877805
283,2016,1,total,982.3252787718541
284,2016,1,total,631.3344392178402
285,2016,1,total,721.4492585642322
286,2016,1,total,458.3898610797196
287,2016,1,total,2009.3275324510944
288,2016,1,total,320.5927628006424
289,2016,1,total,560.729299027697
290,2016,1,total,1047.7078075957295
291,2016,1,total,210.31338703638866
292,2016,1,total,140.67305342832404
293,2016,1,total,311.39189528844673
294,2016,1,total,483.38566492313777
295,2016,1,total,421.420080201879
296,2016,1,total,528.4293709111988
297,2016,1,total,765.549913628241
298,2016,1,total,803.2757438259548
299,2016,1,total,1079.568040754889
300,2016,1,total,907.6359237960435
301,2016,1,total,342.10239407760923
302,2016,1,total,473.00700619604225
303,2016,1,total,490.4424460702623
304,2016,1,total,753.0094453665616
305,2016,1,total,526.4008934856992
306,2016,1,total,1505.6967880122093
307,2016,1,total,2248.36392203182
308,2016,1,total,231.28815874220652
309,2016,1,total,703.0264444683854
310,2016,1,total,637.885956197484
311,2016,1,total,963.5501061080656
312,2016,1,total,401.89149346473647
313,2016,1,total,699.0678935974746
314,2016,1,total,496.88084270032357
315,2016,1,total,312.1504242595251
316,2016,1,total,833.4300191823629
317,2016,1,total,912.4785573672482
318,2016,1,total,437.27025390819847
319,2016,1,total,1104.857189732922
320,2016,1,total,779.9258482792872
321,2016,1,total,230.46349564290495
322,2016,1,total,379.6242356443907
323,2016,1,total,2177.691969365759
324,2016,1,total,1721.722824521327
325,2016,1,total,368.1216285504861
326,2016,1,total,2004.8678606578071
327,2016,1,total,868.0357884865326
328,2016,1,total,1157.0494290107142
329,2016,1,total,1073.5930148367797
330,2016,1,total,434.0825438608499
331,2016,1,total,844.4026371607733
332,2016,1,total,2311.9613484112283
333,2016,1,total,313.58857235647093
334,2016,1,total,2326.2993197544015
335,2016,1,total,1035.6284432951718
336,2016,1,total,271.95882038611626
337,2016,1,total,281.43467826310336
338,2016,1,total,799.3419959343918
339,2016,1,total,383.4723727431998
340,2016,1,total,191.30088623077745
341,2016,1,total,1064.0807043901893
342,2016,1,total,577.1006376973648
343,2016,1,total,271.61645306199694
344,2016,1,total,638.9871692752527
345,2016,1,total,396.15312263248455
346,2016,1,total,1454.520328986721
347,2016,1,total,317.88282442403914
348,2016,1,total,154.85579466879446
349,2016,1,total,787.2815231601792
350,2016,1,total,897.0809027093867
351,2016,1,total,507.69650107072266
352,2016,1,total,1079.3165195239178
353,2016,1,total,1467.5406150877902
354,2016,1,total,2825.111891068791
355,2016,1,total,986.4430203981092
356,2016,1,total,745.088295737337
357,2016,1,total,266.10568685267623
358,2016,1,total,1306.179651709509
359,2016,1,total,2362.458545487893
360,2016,1,total,1754.0846732548143
361,2016,1,total,660.2335871997356
362,2016,1,total,719.2789239717209
363,2016,1,total,509.4876202553443
364,2016,1,total,382.43174092380667
365,2016,1,total,487.69449601832986
366,2016,1,total,678.7547767126919
367,2016,1,total,296.30151673686646
368,2016,1,total,336.1157602742366
369,2016,1,total,259.535736914628
370,2016,1,total,651.5074402859174
371,2016,1,total,410.78176129894536
372,2016,1,total,1017.4181191668633
373,2016,1,total,208.71894740976256
374,2016,1,total,1127.8686566252097
375,2016,1,total,1014.0926567564455
376,2016,1,total,310.6647452103672
377,2016,1,total,314.3468720567492
378,2016,1,total,1515.7441193009056
379,2016,1,total,851.987098741681
380,2016,1,total,409.3253170829718
381,2016,1,total,1011.0773062447481
382,2016,1,total,447.3380877469952
383,2016,1,total,437.3772549537042
384,2016,1,total,999.6094180621782
385,2016,1,total,663.8670050429002
386,2016,1,total,489.6261573066558
387,2016,1,total,1440.2956903406825
388,2016,1,total,404.0480676369848
389,2016,1,total,1253.8571917559987
390,2016,1,total,278.46054111104843
391,2016,1,total,1461.2960792219717
392,2016,1,total,942.6399299699128
393,2016,1,total,783.2315692286865
394,2016,1,total,377.3503302382342
395,2016,1,total,662.3625948761473
396,2016,1,total,677.1328912775397
397,2016,1,total,319.02402335664055
398,2016,1,total,404.45956415337304
399,2016,1,total,448.0076968331712
400,2016,1,total,755.8823628612549
401,2016,1,total,423.2879581591267
402,2016,1,total,492.1547175978163
403,2016,1,total,1761.866762474434
404,2016,1,total,1228.8820828419075
405,2016,1,total,1900.4335030550465
406,2016,1,total,671.053522579183
407,2016,1,total,692.0834861692823
408,2016,1,total,800.0815550542457
409,2016,1,total,518.2820160076865
410,2016,1,total,621.2416951120045
411,2016,1,total,518.0311224428996
412,2016,1,total,1913.9603960771394
413,2016,1,total,1094.0015040229882
414,2016,1,total,1516.5739535972446
415,2016,1,total,487.9432065867414
416,2016,1,total,478.9628545975901
417,2016,1,total,313.6230249001384
418,2016,1,total,859.0334533839816
419,2016,1,total,1404.2141281508225
420,2016,1,total,1173.2760768384526
421,2016,1,total,1355.793260168598
422,2016,1,total,324.2660220499667
423,2016,1,total,511.4856935176116
424,2016,1,total,283.8534694983075
